City,System Type,SQFT,HF Used,HF w/Retro,kWh/yr,kWh/yr w/ retro,Implementation Cost,HR gallons,Steam District,HR Installed,Biomass
Mccarthy,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Mcgrath,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Mckinley Park,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Mekoryuk,Closed Haul/Closed Haul,,,,,,,,,FALSE,FALSE
Mendeltna,Closed Haul/Closed Haul,,,,,,,,,FALSE,FALSE
Mentasta Lake,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Metlakatla,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Minto,Circulating/Gravity,,,,,,,,,TRUE,FALSE
Moose Creek,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Moose Pass,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Mosquito Lake,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Mountain Village,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Mud Bay,,,,,,,,,,FALSE,FALSE
Naknek,Wells/ST/DF,3020,1877,1352,5494,5012,9366,0,0,FALSE,FALSE
Nanwalek,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Napakiak,Closed Haul/Closed Haul,,,,,,,,,FALSE,FALSE
Napaskiak,Closed Haul/Closed Haul,2961,9161,5839,55111,49028,17735,0,0,FALSE,FALSE
Naukati Bay,None,,,,,,,,,FALSE,FALSE
Nelson Lagoon,Pressure/NA,,,,,,,,,FALSE,FALSE
Nenana,Circulating/Gravity,,,,,,,,,FALSE,FALSE
New Allakaket,Washeteria,,,,,,,,,TRUE,FALSE
New Stuyahok,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Newhalen,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Newtok,Washeteria,1568,0,0,22565.10793,9127,1500,0,0,TRUE,FALSE
Nightmute,Closed Haul/Closed Haul,450,0,0,21148,10156,4905,0,0,FALSE,FALSE
Nikolaevsk,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Nikolai,Wells/NA,,,,,,,,,FALSE,FALSE
Nikolski,Pressure/NA,,,,,,,,,FALSE,FALSE
Ninilchik,,,,,,,,,,FALSE,FALSE
Noatak,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Nome,Circulating/Gravity,0,0,0,0,0,0,0,0,FALSE,FALSE
Nondalton,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Noorvik,Circulating/Vacuum,,,,,,,,,FALSE,FALSE
Northway,Closed Haul/Closed Haul,510,0,0,0,0,0,0,0,FALSE,FALSE
Northway Junction,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Northway Village,Closed Haul/Closed Haul,,,,,,,,,FALSE,FALSE
Nuiqsut,Circulating/Gravity,7566,0,0,535641.8207,0,0,0,0,FALSE,FALSE
Nulato,Circulating/Gravity,6941,12506,10896,143068,85565,37100,0,0,FALSE,FALSE
Nunam Iqua,Circulating/Vacuum,4620,3857,1928,149965,111853,28220,7550.724638,3611.803279,TRUE,FALSE
Nunapitchuk,Closed Haul/Closed Haul,3270,7410,4684,33613,31010,16650,0,0,FALSE,FALSE
Old Harbor,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Oscarville,Washeteria,,,,,,,,,FALSE,FALSE
Ouzinkie,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Paxson,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Pedro Bay,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Pelican,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Perryville,Pressure/NA,,,,,,,,,FALSE,FALSE
Petersburg,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Pilot Point,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Pilot Station,Circulating/Gravity,800,2687,1367,122398,71215,86637,0,0,FALSE,FALSE
Pitkas Point,Circulating/Gravity,2160,5166,3356,79856,33046,38740,0,0,FALSE,FALSE
Platinum,Washeteria,,,,,,,,,FALSE,FALSE
Point Baker,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Point Hope,Circulating/Gravity,11647,0,0,189313.2038,0,0,0,0,FALSE,FALSE
Point Lay,Circulating/Gravity,7537,0,0,198494.2864,0,0,0,0,FALSE,FALSE
Port Alexander,,,,,,,,,,FALSE,FALSE
Port Alsworth,,,,,,,,,,FALSE,FALSE
Port Graham,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Port Heiden,Wells/NA,,,,,,,,,FALSE,FALSE
Port Lions,Pressure/Gravity,1200,534.2627737,0,13553.12198,0,0,0,0,FALSE,FALSE
Port Protection,None,,,,,,,,,FALSE,FALSE
Portage Creek,None,,,,,,,,,FALSE,FALSE
Primrose,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Quinhagak,Circulating/Pressure,3072,4645.340146,0,88161.29344,0,0,0,0,FALSE,FALSE
Rampart,Washeteria,,,,,,,,,FALSE,FALSE
Red Devil,Wells/NA,,,,,,,,,FALSE,FALSE
Ruby,Washeteria,,,,,,,,,TRUE,FALSE
Russian Mission,Circulating/Gravity,944,2340,457,33713,29762,5546,0,0,FALSE,FALSE
Saint George,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Saint Mary's,Circulating/Gravity,2160,2360.583942,0,38335.34502,0,0,0,0,FALSE,FALSE
Saint Michael,Circulating/Vacuum,,,,,,,,,FALSE,FALSE
Saint Paul,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Salamatof,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Sand Point,Pressure/Gravity,0,0,0,0,0,0,0,0,FALSE,FALSE
Savoonga,Circulating/Vacuum,1722,9626,333,166485,158007,330630,0,0,FALSE,FALSE
Saxman,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Scammon Bay,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Selawik,Circulating/Vacuum,6820,15595,9703.273312,734410,402276,508955,0,0,FALSE,FALSE
Seldovia,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Shageluk,,,,,,,,,,FALSE,FALSE
Shaktoolik,Circulating/ST/DF,4224,25029.67153,407,80988.362,37637,326222,0,0,FALSE,FALSE
Shishmaref,Closed Haul/Closed Haul,,,,,,,,,FALSE,FALSE
Shungnak,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Sitka,Pressure/Gravity,17100,11562.0438,0,474844.2736,0,0,0,0,FALSE,FALSE
Skagway,Pressure/Gravity,7700,7665.635036,0,145441.309,0,0,0,0,FALSE,FALSE
Slana,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Sleetmute,Circulating/ST/DF,1386,4333.094891,182,51103.24216,21515,125700,0,0,FALSE,FALSE
South Naknek,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Stebbins,Washeteria,,,,,,,,,FALSE,FALSE
Stevens Village,Washeteria,,,,,,,,,TRUE,FALSE
Stony River,Washeteria,,,,,,,,,FALSE,FALSE
Takotna,Watering Point,,,,,,,,,FALSE,FALSE
Tanacross,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Tanana,Circulating/Gravity,,,,,,,,,FALSE,TRUE
Tatitlek,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Tazlina,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Teller,Washeteria,3039,7716,6981,35529,817,23100,0,0,FALSE,FALSE
Tenakee Springs,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Tetlin,Closed Haul/Closed Haul,,,,,,,,,FALSE,FALSE
Thorne Bay,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Togiak,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Tok,Circulating/Gravity,0,0,0,0,0,0,0,0,FALSE,FALSE
Toksook Bay,Circulating/Gravity,354,2694,1918,109786,78413,14320,0,0,TRUE,FALSE
Tonsina,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Trapper Creek,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Tuluksak,Washeteria,1800,6255,4012,34664,31954,20650,0,0,FALSE,FALSE
Tuntutuliak,Closed Haul/Closed Haul,4480,14629.32847,1083,17702.5476,11146,311025,0,0,FALSE,FALSE
Tununak,Washeteria,2048,2174,1815,37367,28294,29123,0,0,FALSE,FALSE
Twin Hills,Pressure/Gravity,600,999,841,13723,5012,42667,0,0,FALSE,FALSE
Two Rivers,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Tyonek,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Unalakleet,Circulating/Gravity,,,,,,,,,FALSE,FALSE
