City,System Type,Year,SQFT,HF Used,HF w/Retro,kWh/yr,kWh/yr w/ retro,Implementation Cost,HR gallons,Steam District,HR Installed,Biomass
Pedro Bay,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Pelican,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Perryville,Pressure/NA,2010,,,,,,,,,FALSE,FALSE
Petersburg,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Pilot Point,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Pilot Station,Circulating/Gravity,2010,928,2687,1367,122398,71215,86637,0,0,FALSE,FALSE
Pitkas Point,Circulating/Gravity,2010,2160,5166,3356,79856,33046,38740,0,0,FALSE,FALSE
Platinum,Washeteria,2010,,,,,,,,,FALSE,FALSE
Point Baker,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Point Hope,Circulating/Gravity,2010,11647,,,189313.2038,,,,,FALSE,FALSE
Point Lay,Circulating/Gravity,2010,7537,,,198494.2864,,,,,FALSE,FALSE
Port Alexander,Unknown,2010,,,,,,,,,FALSE,FALSE
Port Alsworth,Unknown,2010,,,,,,,,,FALSE,FALSE
Port Graham,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Port Heiden,Wells/NA,2010,,,,,,,,,FALSE,FALSE
Port Lions,Pressure/Gravity,2010,1860,740,617,11727,10023,3310,0,0,FALSE,FALSE
Port Protection,None,2010,,,,,,,,,FALSE,FALSE
Portage Creek,None,2010,,,,,,,,,FALSE,FALSE
Primrose,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Quinhagak,Circulating/Pressure,2010,3072,14674,,145683,,,0,0,FALSE,FALSE
Rampart,Washeteria,2010,,,,,,,,,FALSE,FALSE
Red Devil,Wells/NA,2010,,,,,,,,,FALSE,FALSE
Ruby,Washeteria,2010,2600,,,,,,,,TRUE,FALSE
Russian Mission,Circulating/Gravity,2010,944,2340,457,33713,29762,5546,0,0,FALSE,FALSE
Saint George,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Saint Mary's,Circulating/Gravity,2010,2160,2360.583942,,38335.34502,,,,,FALSE,FALSE
Saint Michael,Circulating/Vacuum,2010,,,,,,,,,FALSE,FALSE
Saint Paul,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Salamatof,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Sand Point,Pressure/Gravity,2010,5650,3929,1372,87163,77019,58080,,,FALSE,FALSE
Savoonga,Circulating/Vacuum,2010,1722,9626,333,166485,158007,330630,0,0,FALSE,FALSE
Saxman,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Scammon Bay,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Selawik,Circulating/Vacuum,2010,6820,15595,9703.273312,734410,402276,508955,0,0,FALSE,FALSE
Seldovia,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Shageluk,Unknown,2010,1504,,,,,,,,FALSE,FALSE
