Community,Waste Heat Recovery Opperational,Add waste heat Avail,Est. current annual heating fuel gallons displaced,Est. potential annual heating fuel gallons displaced,Project Name,Year,Phase Completed,New/Repair/Extension,Total Round-trip Distance of Piping (feet),Number of Buildings/Facilities,Buildings/Facilities to be Served,Proposed Gallons of Diesel Offset,Proposed Maximum Btu/hr,Total CAPEX,Source,
Thorne Bay,No,No,unknown,unknown,,,,,,,,,,,,
Togiak,Yes,No,unknown,unknown,Togiak Waste Heat Recovery Project,2010,Feasibility,Repair,1200,5,"Clinic, Police Station, WTP, City Office, Old School",13700,523000,486180,ANTHC HR Study,
Tok,Yes,No,unknown,unknown,,,,,,,,,,,,
Toksook Bay,Yes,Yes,N/A,N/A,,,,,,,,,,,,
Tuluksak,No,No,N/A,N/A,,,,,,,,,,,,
Tuntutuliak,No,No,0,0,Tuntutuliak Heat Recovery,2013,Feasibility,New,1400,1,WTP/Washeteria,6145,300000,429000,ANTHC HR Study,
Tununak,No,No,N/A,N/A,,,,,,,,,,,,
Twin Hills,No,No,N/A,N/A,,,,,,,,,,,,
Unalakleet,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Unalaska,Yes,No,unknown,unknown,,,,,,,,,,,,
Upper Kalskag,No,No,unknown,unknown,,,,,,,,,,,,
Valdez,Yes,,,,,,,,,,,,,,,
Venetie,Yes,No,2000,unknown,Venetie Clinic Heat Recovery,2013,Feasibility,Extension,300,1,Clinic,2267,200000,191091,ANTHC HR Study,
Wainwright,Yes,Yes,unknown,unknown,Wainwright Heat Recovery,0,0,0,0,0,0,0,0,0,0,
Wales,No,No,unknown,unknown,,,,,,,,,,,,
Whale Pass,Yes,No,unknown,unknown,,,,,,,,,,,,
White Mountain,Yes,No,unknown,unknown,,,,,,,,,,,,
Wrangell,,,,,,,,,,,,,,,,
Yakutat,Yes,Yes,unknown,unknown,,,,,,,,,,,,
