Community,Region,Propane ($/gallon),Source
Pedro Bay,Bristol Bay,7.1,AEDG
Pelican,Southeast,4.94,AEDG
Perryville,Bristol Bay,12.92,AEDG
Petersburg,Southeast,3.858958333,Regional Average
Pilot Point,Bristol Bay,9.32,AEDG
Pilot Station,Lower Yukon-Kuskokwim,13.77,AEDG
Pitkas Point,Lower Yukon-Kuskokwim,9.49,AEDG
Platinum,Lower Yukon-Kuskokwim,13.77,AEDG
Point Baker,Southeast,5.25,AEDG
Point Hope,North Slope,11.91,AEDG
Point Lay,North Slope,12.07714286,Regional Average
Port Alexander,Southeast,3.858958333,Regional Average
Port Alsworth,Bristol Bay,8.832857143,Regional Average
Port Graham,Railbelt,4.660405405,Regional Average
Port Heiden,Bristol Bay,6.36,AEDG
Port Lions,Kodiak,5.2225,Regional Average
Port Protection,Southeast,4.4,AEDG
Quinhagak,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Rampart,Yukon-Koyukuk/Upper Tanana,7.01140625,Regional Average
Red Devil,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Ruby,Yukon-Koyukuk/Upper Tanana,9.745,AEDG
Russian Mission,Lower Yukon-Kuskokwim,8.62,AEDG
Saint George,Aleutians,12.71,AEDG
Saint Mary's,Lower Yukon-Kuskokwim,9.77,AEDG
Saint Michael,Bering Straits,13.92807692,Regional Average
Saint Paul,Aleutians,6.193333333,Regional Average
Salcha,Railbelt,5.58,AEDG
Sand Point,Aleutians,7.86,AEDG
Savoonga,Bering Straits,14.62,AEDG
Saxman,Southeast,3.85,AEDG
Scammon Bay,Lower Yukon-Kuskokwim,14.11,AEDG
Selawik,Northwest Arctic,14.25,AEDG
Seldovia,Railbelt,6.39,AEDG
Seward,Railbelt,4.82,AEDG
Shageluk,Yukon-Koyukuk/Upper Tanana,7.01140625,Regional Average
Shaktoolik,Bering Straits,17.41,AEDG
Shishmaref,Bering Straits,16.565,AEDG
Shungnak,Northwest Arctic,12.5025,Regional Average
Sitka,Southeast,3.17,AEDG
Skagway,Southeast,2.32,AEDG
Slana,Copper River/Chugach,3.835,AEDG
Sleetmute,Lower Yukon-Kuskokwim,13.77,AEDG
Soldotna,Railbelt,4.93,AEDG
South Naknek,Bristol Bay,8.832857143,Regional Average
Stebbins,Bering Straits,11.77,AEDG
Sterling,Railbelt,4.72,AEDG
Stevens Village,Yukon-Koyukuk/Upper Tanana,7.01140625,Regional Average
Stony River,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Sutton-Alpine,Railbelt,4.365,AEDG
Takotna,Yukon-Koyukuk/Upper Tanana,7.01140625,Regional Average
Talkeetna,Railbelt,4.29,AEDG
Tanacross,Yukon-Koyukuk/Upper Tanana,3.5,AEDG
Tanana,Yukon-Koyukuk/Upper Tanana,8.16,AEDG
Tatitlek,Copper River/Chugach,4.504705882,Regional Average
Tazlina,Copper River/Chugach,3.86,AEDG
Teller,Bering Straits,12.14,AEDG
Tenakee Springs,Southeast,3.77,AEDG
Tetlin,Yukon-Koyukuk/Upper Tanana,3.5,AEDG
Thorne Bay,Southeast,3.46,AEDG
Togiak,Bristol Bay,8.832857143,Regional Average
Tok,Yukon-Koyukuk/Upper Tanana,3.535,AEDG
Toksook Bay,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Tonsina,Copper River/Chugach,4.07,AEDG
Trapper Creek,Railbelt,4.29,AEDG
Tuluksak,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Tuntutuliak,Lower Yukon-Kuskokwim,15.68,AEDG
Tununak,Lower Yukon-Kuskokwim,10.59,AEDG
Twin Hills,Bristol Bay,10.59,AEDG
Tyonek,Railbelt,4.025,AEDG
Ugashik,Bristol Bay,8.84,AEDG
Unalakleet,Bering Straits,10.815,AEDG
Unalaska,Aleutians,5.06,AEDG
Valdez,Copper River/Chugach,4.535,AEDG
Venetie,Yukon-Koyukuk/Upper Tanana,12.08,AEDG
Wainwright,North Slope,19.83,AEDG
Wales,Bering Straits,13.92807692,Regional Average
Ward Cove,Southeast,3.85,AEDG
Wasilla,Railbelt,4.45,AEDG
Whale Pass,Southeast,3.255,AEDG
White Mountain,Bering Straits,16.05,AEDG
Whittier,Railbelt,4.73,AEDG
Willow,Railbelt,4.365,AEDG
Wiseman,Yukon-Koyukuk/Upper Tanana,5.09,AEDG
Wrangell,Southeast,4.65,AEDG
Yakutat,Southeast,3.858958333,Regional Average
