#2013 ACS data (B25040),,,,,,,,,,,,,,,,,,,,
Community Name,Borough/Census Area,Total,Error Total,Utility Gas,Error Utility gas,LP,Error LP,Electricity,Error Electricity,Fuel Oil,Error Fuel Oil,Coal,Error Coal,Wood,Error Wood,Solar,Error Solar,Other,Error Other,No fuel used
City and Borough of Wrangell - CBW,Wrangell City and Borough,1,0.0774586597,0.0208877285,0.0217580505,0.001740644,0.0034812881,0.3542210618,0.0661444735,0.3672758921,0.0678851175,0,0.0078328982,0.2428198433,0.0644038294,0,0.0078328982,0.0104438642,0.0139251523,0.0026109661
City and Borough of Yakutat - CBY,Yakutat City and Borough,1,0.1653543307,0.0393700787,0.0433070866,0.0039370079,0.0118110236,0.0433070866,0.031496063,0.7795275591,0.1417322835,0,0.0354330709,0.1299212598,0.0590551181,0,0.0354330709,0.0039370079,0.0078740157,0
Clam Gulch,Kenai Peninsula Borough,1,0.0202578269,0.4618324125,0.0198434622,0.0424953959,0.0056629834,0.0637200737,0.0080570902,0.3044198895,0.0160220994,0.0032228361,0.0014732965,0.1175414365,0.013305709,0,0.0010128913,0.0049723757,0.0022559853,0.0017955801
Clark's Point,Dillingham Census Area,1,0.0455563854,0.0164301718,0.0126960418,0,0.0097087379,0.0126960418,0.0104555639,0.8528752801,0.0485436893,0,0.0097087379,0.1127707244,0.0238984317,0.002240478,0.0044809559,0.002987304,0.0052277819,0
Clear,Denali Borough,1,0.1201117318,0.0139664804,0.0223463687,0,0.0125698324,0.0363128492,0.0279329609,0.5656424581,0.1131284916,0.155027933,0.0642458101,0.2290502793,0.0726256983,0,0.0125698324,0,0.0125698324,0
Coffman Cove,Prince of Wales-Hyder Census Area,1,0.0428571429,0.00625,0.0040178571,0.0325892857,0.0116071429,0.1299107143,0.025,0.4830357143,0.0415178571,0.0008928571,0.0013392857,0.3424107143,0.0379464286,0,0.0058035714,0.0040178571,0.0026785714,0.0008928571
Cohoe,Kenai Peninsula Borough,1,0.0202578269,0.4618324125,0.0198434622,0.0424953959,0.0056629834,0.0637200737,0.0080570902,0.3044198895,0.0160220994,0.0032228361,0.0014732965,0.1175414365,0.013305709,0,0.0010128913,0.0049723757,0.0022559853,0.0017955801
Cold Bay,Aleutians East Borough,1,0.3977011494,0.0137931034,0.0229885057,0.0022988506,0.0114942529,0.0275862069,0.0252873563,0.9218390805,0.3563218391,0,0.0206896552,0.0298850575,0.0252873563,0,0.0206896552,0.0045977011,0.0068965517,0
Coldfoot,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
College,Fairbanks North Star Borough,1,0.0178992919,0.0543160616,0.0081488142,0.0139934809,0.0043835001,0.0694335169,0.009385186,0.7566595482,0.0226480836,0.0169439137,0.0050297853,0.0701079015,0.0103405642,0.0003652917,0.0006181859,0.0141620771,0.0043835001,0.0040182084
